,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
254,BakerSonPeekay,"13 to a dozen, absoloodle; but retweets are not necessarily endorsements.",,3081,1125,407200,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
255,valkyriansvals,"Life is a tale, told by an idiot. Full of sound and fury. Signifying nothing.",,676,1398,4868,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
256,disillusioned61,,,114,26,12962,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
257,Alivesince1987,I respond mainly to politics & game content. I read tweets more then I write them myself.,,3,5,285,0,You can say what you want about Amber Heard. But she is living rent free in the heads of so many Johnny Depp fans around the world. Her Q-rating is probable better then ever 🤣 #Amberheard #JohnnyDeppVsAmberHeard #Pokemon #Aquaman #Aquaman2.,"['Amberheard', 'JohnnyDeppVsAmberHeard', 'Pokemon', 'Aquaman', 'Aquaman2']"
258,naye_news,"Naye News -  Clean and safe way to read the latest news. Read online naye i.e latest news of India and International politics, sports news, business & health.",,0,2,957,0,Johnny Depp And Amber Heard Trial Wristbands On Sale For Rs 3.8 Lakh On eBay - https://t.co/JgFc0zVUYL #nayenews #JohnnyDepp #AmberHeard #CourtTrial #eBay https://t.co/QWy9uWRX2N,"['nayenews', 'JohnnyDepp', 'AmberHeard', 'CourtTrial', 'eBay']"
259,Autumn_Ivy_,Dogs are my favorite people 🐾 #PetsAreFamily #AdoptDontShop 🤍 #IStandWithJohnnyDepp 🏴‍☠️ #LawNerd ⚖️,,269,113,4262,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
260,fully_cinematic,The podcast that covers the movies and tv shows that you need to see. Subscribe to our YouTube channel: https://t.co/Ke36VVQEDI…,,1582,2031,443,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
261,MatthewTwihard,"""Father… Fill me up with your undying love. Save me a place in your Kingdom above."" -From #RachelJoyScott's personal journals. #LiveLikeLine #BlackLivesMatter","Another Galaxy, Not Yours ",1643,3696,2445450,0,"#IStandWithAmberHeard because #AmberHeard is a Badass Hero and an inspiration for the way she stood up to her abuser and revealed his crimes.

#StayStrongAmber and please know that #WeAreWithYouAmberHeard because #WeLoveYouAmberHeard always and forever. https://t.co/MsnzmGjVr9","['IStandWithAmberHeard', 'AmberHeard', 'StayStrongAmber', 'WeAreWithYouAmberHeard', 'WeLoveYouAmberHeard']"
262,Georgieanne_CA,Save the Children of Ukraine,California,1046,1657,65248,0,"@ACLU You need to sue #AmberHeard for that $87k you expended in being forced to finally tell the truth. She is the perpetrator of violence, and your collusion with her in perpetuating a lie against a DV victim she slandered is what caused you to have to go to court #JohnnyDepp","['AmberHeard', 'JohnnyDepp']"
263,MarcialVal86,35/ Científico / Viñamarino / Humor y sátira politica / Cazador de #FakeNews! / Aquí se defiende a la @convencioncl,Viña del Mar,3591,3238,24759,0,"@brosandprose @RottenInDenmark @onthemedia The media has supported #AmberHeard and condemned #JohnnyDepp 'prior' to any trial for more than 6 years.
This false narrative, is clear, that it's just trying to protect the #MeToo movement, without making any references to the incosistencies in her testimony and evidence.","['AmberHeard', 'JohnnyDepp', 'MeToo']"
264,ElizabethBorne6,,"Springfield, Mo",684,191,23179,0,"NOT WATCHED TRIAL &amp; DONT KNOW 🇬🇧TRIAL 2DEFENDENTS RUPERT MURDOCH’S theSUN &amp; DAN WOOTTON a tucker wannabe,No Evidence/discovery Judge&amp;def worked for Murdoch, CLUSTERB NARCISSIST #AmberHeard lies no objection sustained-NO ACCOUNTABILITY= NO REDEMPTION, break cycle Abuse https://t.co/Tx2xzNx7XJ",['AmberHeard']
265,Rox_OL,,,319,34,504,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
266,Fortytw61678898,Thanks for all the fish,,94,4,490,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
267,ProjectWillow11,Don't Follow Me.  I'm only here to observe.,,76,124,6436,1,"Because of Amber Heards lies women will fear coming forward. 
#AmberHeardIsAnAbuser #AmberHeardIsALiar #amberheard #JusticeServedForJohnnyDepp #justiceforjohnny https://t.co/FlM4ipQ0t2","['AmberHeardIsAnAbuser', 'AmberHeardIsALiar', 'amberheard', 'JusticeServedForJohnnyDepp', 'justiceforjohnny']"
268,kwh_1960,"If ur lurking on my page trying to find ammunition for a personal insult cuz u are currently losing an argument with me in these Twitter streets, Im 🤣🤣🤣HARD",#SussexSquad,313,350,18243,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
269,obliviousmixed,"Loving mother of three, outgoing, spontaneous, rave girl ❤️🧡💛💚💙💜🖤🤍🤎🌈","Fort Bliss, TX",76,8,130,0,So I feel like pirates is racist just saying ##amberheard,['amberheard']
270,burgleandbuffut,I wasn't waving at you....,Birminghan,66,8,1318,1,"So much great art about #JohnnyDepp but how about #amberheard... isn't this a face you can trust? isn't this a face you can trust? #AmberTurd
https://t.co/4ch9X4qEfT https://t.co/uDMrxXyRDp","['JohnnyDepp', 'amberheard']"
271,jfarrHR,"Mom, daughter, sister, wonder twin, friend, ally, inclusionist | Diversity is a strength | 👩‍👧🦄🌮🧀🍣🥑🍩","Los Angeles, CA",1875,726,22935,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
272,HilliusGlitch,"Politically unbiased.
Frequently labelled by the uneducated and imbecilic as: racist, ___phobic, privileged.
""Hey, Putin! #ИдиНахуй""",Cornwall/Brum/London,533,544,16504,1,"Day 6 and Eve Barlow still hasn't accepted that Amber Heard was exposed as a lying, narcissistic abuser.
The truth must be hard to swallow when it goes hand in hand with accepting that you've been played like a fiddle.
#AmberTurd
#EveBarlow #AmberHeard #DanWootton #JohnnyDepp https://t.co/qM5Kwxczch","['AmberTurd', 'EveBarlow', 'AmberHeard', 'DanWootton', 'JohnnyDepp']"
273,THunny84,🏴‍☠️🇺🇸,,69,37,1467,39,"#AmberHeard &amp; her sister #WhitneyHenriquez, joined at the hip by their perjurious statements in the bombshell defamation trial with Johnny Depp, continue their attempts to gaslight the public in spite of the verdict that found Amber liable for defamation.

https://t.co/tcqTHFdyeJ","['AmberHeard', 'WhitneyHenriquez']"
274,ManuAbdul,An Indian male,Bangalore,191,52,3420,68,"We listen

#jhonnydepp #AmberHeard #edit #fun https://t.co/dmwfKYffPp","['jhonnydepp', 'AmberHeard', 'edit', 'fun']"
275,miadeluca17,VIP Brazilian Model 🇧🇷 Travel Aficionado ✈️ Wine lover🥂 High Class - Exotic - Intellectual ✨ (My previous account got deleted 😞)  💌 mia-de-luca@outlook.com,Tampa,131,2110,108,4,"Best one so far😂
#Memes #funny #AmberHeard https://t.co/KYjdv1Ngta","['Memes', 'funny', 'AmberHeard']"
276,samir_patil,"Peopled Geeks rule the World. I am a |-|@(k3r on the way.
https://t.co/q7lWBAc0r6",भारत India,1042,697,661872,1,"The Smell of Victory!
#amberheard #amberturd #fyp #foryoupage  #toxic  #justiceforjohnnydepp  #JohnnyDeppAmberHeardTrial 
#JohnnyDeppGotJustice https://t.co/dt9OLxxhbS","['amberheard', 'amberturd', 'fyp', 'foryoupage', 'toxic', 'justiceforjohnnydepp']"
277,likesaplenty,,"London, England",30,39,103,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
278,CunningShowbiz,"Brought to you by @cunningfoxes

We are the #TheFoxPack and we own #TheFoxBank

We bring you upto date on all things in the Showbiz world!",MetaVerse,4978,1265,13070,0,"Jurors ‘Dozed Off’ During Johnny Depp-Amber Heard Trial, Says Stenographer: ‘Their Heads’ Dropped https://t.co/7l3eWfhcsb #News #AmberHeard","['News', 'AmberHeard']"
279,Jordie762,"#Pro-Choice #Resist #Unity #GoodTrouble #Vaxxed #BLM Husky lover, grateful for the Biden/Harris Administration, No DM’s please!","West Haven, CT",1501,398,2840,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
280,AverageTweet75,"""It is no measure of health to be well-adjusted to an insane society""",somewhere in England.,139,74,738,4,"@_ab1269 ⭐️‼️PLEASE  RETWEET‼️⭐️
Amber Heard’s lawyer #ElaineBredehoft is trying to bait the jury into speaking publicly before  21 days are up so #AmberHeardIsALiar can claim “Juror Misconduct.“  Jurors-Don't Fall For It ‼️# #DeppVsHeardVerdict #ElaineBredehoftisALiar #AmberHeard #MeToo",['ElaineBredehoft']
281,Carlo6Rosie,,,40,5,83,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
282,AndiiM6853,,,423,48,1638,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
283,ServerlessFan,#Serverless #Computing,Sri Lanka,6,4044,542567,1,"Let us handle your assignment in due time 
Summer classes
Online Classes
Homework
Essay pay
Thesis
Research
Psychology
Economics
Finance
Sociology
Nursing
Statistics
French toast
preece
#CodeNewbies #AI
#exams2022 
#Serverless
#AmberHeard 
#Analytics
Universities
Check Bio https://t.co/PEfRZXyxBw",[]
284,kimwriter_tutor,"Experienced Academic Writer
Call or WhatsApp +1(208) 477-5594
Email: certifiedhometutor@gmail.com for #essayhelp #researchpaper #dissertation","Washington, DC",84,38,1181,1,"Let us handle your assignment in due time 
Summer classes
Online Classes
Homework
Essay pay
Thesis
Research
Psychology
Economics
Finance
Sociology
Nursing
Statistics
French toast
preece
#CodeNewbies #AI
#exams2022 
#Serverless
#AmberHeard 
#Analytics
Universities
Check Bio https://t.co/PEfRZXyxBw","['CodeNewbies', 'AI', 'exams2022', 'Serverless', 'AmberHeard', 'Analytics']"
285,Zielke6,"The best thing in life is knowing that right now,you are exactly where you belong!!",,31,8,463,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
286,GautamKarve,"Indian artist specialised in graphic/web designing and photography. Founder of @ChannelofIndia, @WorldMediaOrg and a brand specialist.",World,11,15182,2535,0,#JohnnyDepp spends ₹ 48 Lakh at Indian restaurant in #Birmingham to celebrate win against #AmberHeard.,"['JohnnyDepp', 'Birmingham', 'AmberHeard']"
287,KayVonLeeTV,Usual 9-5 by day but at night a real #GAYmer 🎮 #GirlGamer 👩🏻‍🤝‍👩🏼 #twitchstreamer 📺,"Scotland, UK",100,43,76,0,"Here's something amusing to tide over until I start feeling well enough again to stream, which... Hopefully will be in the next few days 🙏🏼🤍

#memes #contentcreator #femalestreamer #femalecomic #johnnydepp #funny #comedy #justiceforjohnny #amberheard #squidgame https://t.co/fbAYPQYBMd","['memes', 'contentcreator', 'femalestreamer', 'femalecomic', 'johnnydepp', 'funny', 'comedy', 'justiceforjohnny', 'amberheard', 'squidgame']"
288,Asmeet57995166,,,7,4,335,11851,BREAKING: #JohnnyDepp WINS defamation case against #AmberHeard https://t.co/FYbqHcui4L,"['JohnnyDepp', 'AmberHeard']"
289,Carlzmeister,"Just a small town Brit living in an American world. Well, Boston to be exact.","Newton, MA",181,37,341,0,@FemCondition @danblock4 Question. #johnnydepp had a substance abuse problem? Not up4 debate - he admitted. #amberheard supporters - is facilitating an addicts drug use for your own fun not considered a form of #abuse?? Ok 2 use when she did/said?That’s not how #addiction works. #DeppvHeard #DeppVsHeard,"['johnnydepp', 'amberheard', 'abuse', 'addiction', 'DeppvHeard', 'DeppVsHeard']"
290,ARYNEWSOFFICIAL,ARY News is a Pakistani news channel committed to bring you up-to-the minute news & featured stories from around Pakistan & all over the world.,"Karachi,Pakistan",30,4551831,222173,3,"#JohnnyDepp celebrates win over #AmberHeard at restaurant

#ARYNews 

https://t.co/GsGqhnrGYw","['JohnnyDepp', 'AmberHeard', 'ARYNews']"
291,ServerlessFan,#Serverless #Computing,Sri Lanka,6,4044,542567,1,"Let us handle your assignment in due time 
Summer classes
Online Classes
Homework
Essay pay
Thesis
Research
Psychology
Economics
Finance
Sociology
Nursing
Statistics
French toast
preece
#LovenseOrgy
#exams2022 
#Serverless
#AmberHeard 
#Analytics 
Universities
DM @kimwriter_tutor https://t.co/rSejvCL0Lf",[]
292,kimwriter_tutor,"Experienced Academic Writer
Call or WhatsApp +1(208) 477-5594
Email: certifiedhometutor@gmail.com for #essayhelp #researchpaper #dissertation","Washington, DC",84,38,1181,1,"Let us handle your assignment in due time 
Summer classes
Online Classes
Homework
Essay pay
Thesis
Research
Psychology
Economics
Finance
Sociology
Nursing
Statistics
French toast
preece
#LovenseOrgy
#exams2022 
#Serverless
#AmberHeard 
#Analytics 
Universities
DM @kimwriter_tutor https://t.co/rSejvCL0Lf","['LovenseOrgy', 'exams2022', 'Serverless', 'AmberHeard', 'Analytics']"
293,x_tygr_x,"In the end we are all one what you destroy you destroy for all of us what we build up elevates us all 
#Vegan She/Her #artist  #musician  #writer",Beta Centauri,643,1440,53890,1,"PROOF #AmberHeard stole portion of her fake story from #Rihanna 
and funny how #AmberHeard could not remember ""black out"" at that moment, and instead went with ""black"".
https://t.co/fBIqndrO9f
Thanks for the video @spirituallyemp1 

 #AmberHeardIsALiar
#JusticeServedForJohnnyDepp","['AmberHeard', 'Rihanna', 'AmberHeard']"
294,NorthAmericaWMO,"Media conglomerate, Publication (daily or weekly) and Consisting online media platform which provides #news feed from various sources to its readers.",North America,4,21,312,4,"#JohnnyDepp spends ₹ 48 Lakh at Indian restaurant in #Birmingham to celebrate win against #AmberHeard.

#worldmediaorganization #worldmediaorg https://t.co/EdM1cFZjc8","['JohnnyDepp', 'Birmingham', 'AmberHeard']"
295,leathebee,she/they-LGBTQIA-ask the questions that make the whole world scream #criticalresistance #abolitionist #BlackLivesMatter #BlockedbyMattGaetz,Phil Ochs Living Room,3481,1006,8005,6,The support for @realamberheard keeps growing and is staying consistent 😍😍. Also crazy how I’ve used #IStandWithAmberHeard 100 times but I still have to type her whole name before it pops up 🧐🧐. #AmberHeard #JohnnyDeppvAmberHeard #IBelieveAmberHeard https://t.co/8zZW5eAKAR,[]
296,MeghanUnhinged,Curious,"Haydock, England",90,10,545,0,@meghansupporter Which Lili would that be? The one the Queen would not be photographed with so that awful Markles could capitalize on it? Disgusting couple. #MeghanMarkle is as bad as #amberheard just about. They are both self absorbed narcissists. Lili is the image of Prince Harry,"['MeghanMarkle', 'amberheard']"
297,kathyasully,,,210,204,4336,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
298,AustraliaWMO,"Media conglomerate, Publication (daily or weekly) and Consisting online media platform which provides #news feed from various sources to its readers.",World,4,9,316,4,"#JohnnyDepp spends ₹ 48 Lakh at Indian restaurant in #Birmingham to celebrate win against #AmberHeard.

#worldmediaorganization #worldmediaorg https://t.co/EdM1cFZjc8","['JohnnyDepp', 'Birmingham', 'AmberHeard']"
299,SouthAmericaWMO,"Media conglomerate, Publication (daily or weekly) and Consisting online media platform which provides #news feed from various sources to its readers.",South America ,3,21,313,4,"#JohnnyDepp spends ₹ 48 Lakh at Indian restaurant in #Birmingham to celebrate win against #AmberHeard.

#worldmediaorganization #worldmediaorg https://t.co/EdM1cFZjc8","['JohnnyDepp', 'Birmingham', 'AmberHeard']"
300,AsiaWMO,"Media conglomerate, Publication (daily or weekly) and Consisting online media platform which provides #news feed from various sources to its readers.",Asia ,5,12,314,4,"#JohnnyDepp spends ₹ 48 Lakh at Indian restaurant in #Birmingham to celebrate win against #AmberHeard.

#worldmediaorganization #worldmediaorg https://t.co/EdM1cFZjc8","['JohnnyDepp', 'Birmingham', 'AmberHeard']"
301,Carlzmeister,"Just a small town Brit living in an American world. Well, Boston to be exact.","Newton, MA",181,37,341,0,@redlianak Question. #johnnydepp had a substance abuse problem? Not up4 debate - he admitted. #amberheard supporters - is facilitating an addicts drug use for your own fun not considered a form of #abuse?? Ok 2 use when she did/said?That’s not how #addiction works. #DeppvHeard #DeppVsHeard,"['johnnydepp', 'amberheard', 'abuse', 'addiction', 'DeppvHeard', 'DeppVsHeard']"
302,Rach32898884,"Theres a petrified forest under Nyack, NY& w/every rainfall more, bigger&better specimen R/will B discovered. Nyackians:kick some rocks around&show what U find!","New York, USA  Born and raised",2794,2891,8914,0,"At 9:42, you can actually hear the Doctor recommending that someone who is physically “stronger” than #amberheard , to accompany her in case she “kicks off”. 
NEW UNCENSORED AUDIO!! from Australia - Johnny Depp &amp; Amber Heard  (she ... https://t.co/8KGjESbIkl via @YouTube",['amberheard']
303,Carlzmeister,"Just a small town Brit living in an American world. Well, Boston to be exact.","Newton, MA",181,37,341,0,@ThatUmbrella Question. #johnnydepp had a substance abuse problem? Not up4 debate - he admitted. #amberheard supporters - is facilitating an addicts drug use for your own fun not considered a form of #abuse?? Ok 2 use when she did/said?That’s not how #addiction works. #DeppvHeard #DeppVsHeard,"['johnnydepp', 'amberheard', 'abuse', 'addiction', 'DeppvHeard', 'DeppVsHeard']"
304,IwadoAnna,"I’m a music producer and the music I make are: EDM,Synthwave,Punk and Synthpop Beats. And a reincarnated human being.",private ,257,15,337,0,"#AmberHeard #WhitneyHenriquez 
Get the fuck out of social media because ya’ll are a bunch of liars. Don’t blame the jury for anything! 
Now go eat a d**ck and get over it!","['AmberHeard', 'WhitneyHenriquez']"
305,waldmanspet22,Johnny Depp Is Innocent * Old Account Hacked,,405,148,1881,20,"So I didn’t know this was trending, until Eve shared it. Sometimes I do wonder if Eve is actually subtly sabotaging Amber. It’s odd. 
#amberheard #NewJobsForAmberHeard https://t.co/KLrf3DVKEP",[]
306,Carlzmeister,"Just a small town Brit living in an American world. Well, Boston to be exact.","Newton, MA",181,37,341,0,@NatetheLawyer @YouTube Question. #johnnydepp had a substance abuse problem? Not up4 debate - he admitted. #amberheard supporters - is facilitating an addicts drug use for your own fun not considered a form of #abuse?? Ok 2 use when she did/said?That’s not how #addiction works. #DeppvHeard #DeppVsHeard,"['johnnydepp', 'amberheard', 'abuse', 'addiction', 'DeppvHeard', 'DeppVsHeard']"
307,sugarfruit1014,,,50,227,72887,2,https://t.co/xWJGY54yvK #AmberHeard Can’t Pay The $8 Million Dollars She Owes #JohnnyDepp says Her Lawyer #ElaineBredehoft #JusticeServedForJohnnyDepp #AbuseHasNoGender #AHLIED #AmberHeardIsAnAbuser #AmberHeardLost #IBelieveJohnnyDepp https://t.co/M1d0GQrwes,"['AmberHeard', 'JohnnyDepp']"
308,brainsofblondie,Blonde moments and scatterbrained fun hosted by @Saga_Says with co-hosts @BellaLaRue1 @FlindersEmma @SilipigniMario Mondays 3pm ET. Part of @HashtagRoundup,,321,259,559,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
309,SHESHE1313,PROUD 2B AN AMERICAN 🇺🇸LOVE ALL PATRIOTS!♥️🤍💙LOVE & RESPECT OUR VETS! 🇺🇸 I  RESPECT OUR MEN & WOMEN IN BLUE !❤️🤍💙 TRUMP IS MY PRESIDENT! MAGA & (FJB)!,"(SHIRACK)CHICAGO, HELL🔥",4343,4195,23904,20,"Amber Heard has been on record for  assaulting:

-Johnny Depp
-Tasya van Re
-Whitney Henriquez 
-Raquel Pennington

It’s time we recognize #AmberHeard for the domestic abuser that she is!

#IStandWithAmber 
#JusticeForJohnnyDepp 
#DeppVHeardTrial 
#TeamJohnnyDepp",[]
310,alexadiamantte,"24 year old midwesterner, GOT7 FOREVER, she/they, mental health advocate 🇲🇽🇺🇸 #stopaapihate #blacklivesmatter #heforshe",United States,172,114,3919,1305,"Look you can say you don’t give a shit about the #JohnnyDepp and #AmberHeard trial but since it ended I’ve had two dv hotline calls TODAY, both male. That’s more than I’ve gotten in the last YEAR if not two. That’s why it’s important.","['JohnnyDepp', 'AmberHeard']"
311,MeghanUnhinged,Curious,"Haydock, England",90,10,545,0,@LisaGandini Yes and now she’s saying ALL the evidence was suppressed by the court. #ElaineBredehof needs to own her incompetence as a trial attorney. She was just awful. Then there’s #evebarlow talking shite and #amberheard being JUDGED by 7 good people as being a damn evil liar!!!,"['ElaineBredehof', 'evebarlow', 'amberheard']"
312,EasportsMr,,,12,0,10,10,"Dah brother gone😂💔
#viral #school #Schoolfight #Fights #hood #ASUU #boxing #fightpage #FightVideo #hoodsvideo #hoodvideos #streetfight #worldstarfights #worldstar #June2022 #StreetFighter #streetfight #DoctorStrange      #AmberHeard #fighting #fightschool #fightingvideos #viral https://t.co/dKGhxz1FPd","['viral', 'school', 'Schoolfight', 'Fights', 'hood', 'ASUU', 'boxing', 'fightpage', 'FightVideo', 'hoodsvideo', 'hoodvideos']"
313,dr_fredrique411,Orthopedist😷🏥 |The Hippocratic Oath... What hurts one hurts all 💔💔💔 NO DM... Dog LOVER 🐶 Kiss & Makeup 🌹I’m Foodie 😋#JusticeForJohnnyDepp☠️🇺🇸NO DM🚫,Sana’a,901,336,24658,58,"This trial shows johnny must go to all lengths to prove he's the victim not Amber, Depp had to expose every little detail of his life to let the world know
#JohnnyDeppVsAmberHeard 
#DeppvHeard #AmberHeard 
#JusticeForJohnnyDepp 
#JohnnyDeppAmberHeardTrial https://t.co/h0UW40PgTa",[]
314,mummy_knight,"Just a mumma with a iPhone 📱 I am a content creator. I love Apple products, gaming & photography. Im a mum of 7. Instagram: Mummyknight7. Tiktok: Mummyknight.","East Midlands, England",174,314,14489,0,Check out ❤️ Helen ❤️'s video! #TikTok https://t.co/XiWMEPbYTh #alig #mydogsteppedonabee #amberheard #amberturd,"['TikTok', 'alig', 'mydogsteppedonabee', 'amberheard', 'amberturd']"
315,KryssieFortune,Writer of HEA romance. Like your men with fangs or scales? How about ex-military? Then please check out my Amazon page https://t.co/7dD29Q2z1Q,"Bridlington, Yorkshire",18616,18391,293590,29,My Monday Musings https://t.co/gEoo08tj6j via @ToryRichards #johnnydepp #amberheard #mondaymusings #mondaythoughts #mondaymorning,"['johnnydepp', 'amberheard', 'mondaymusings', 'mondaythoughts']"
316,idawhannadoyou,Account permanently suspended in Oct. 2020 for tweeting about Hunter's laptop. Account restored April 2022.,,7027,6795,352068,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
317,joshi91188,no room for baseless talks,India,89,46,4047,25,"Someone jokingly said that #AmberHeard should become a Muslim now. He was spot on! 

Since Muslims love converting vulnerable or troubled people, a rich Saudi man seizes his opportunity and makes a marriage proposal to Amber Heard. https://t.co/D7hsaByOcY",['AmberHeard']
318,NikoJ0nes,"Passionate for truth, nature, and living the real life",,96,2,12,9,"I've seen this statement being posted alot of times, I couldn't agree with it more. #AmberHeard #AmberHeardIsALiar #AmberHeardlsAnAbuser #ElaineBredehoft #EveBarlow AMBER DOES NOT SPEAK FOR ME
#AbuseHasNoGender #MenToo #MeToo #NotWithHer #TruthWins #JusticeServedForJohnnyDepp https://t.co/Xu7Pvslb0F","['AmberHeard', 'AmberHeardIsALiar']"
319,kelllsbellls11,,,105,60,2132,0,"@imReactingNow Women who support toxic #AmberHeard should listen to this where she's manufacturing abuse, yelling at JD to  'STOP poking her with a stick &amp; pushing her against the wall', saying she's gonna ""DIE"" calling him ""mean"" and ""such a bully"" because he wants to leave for an hour or two! https://t.co/MvLRtmwFCT",['AmberHeard']
